"","age","total_children","feelings_life","sex","place_birth_canada","marital_status","vis_minority","citizenship_status","education","average_hours_worked","self_rated_health","self_rated_mental_health","language_home","language_knowledge","occupation","income_respondent"
"40",54.3,3,10,"Male","Born in Canada","Living common-law","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","50.1 hours and more","Excellent","Excellent","English","Both English and French","Management occupations","1"
"42",37,1,9,"Female","Born in Canada","Living common-law","Not a visible minority","By birth","University certificate or diploma below the bachelor's level","30.0 to 40.0 hours","Excellent","Excellent","French","French only","Occupations in education, law and social, community and ...","3"
"43",27.3,1,8,"Female","Born in Canada","Single, never married","Visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Good","Good","English","English only","Sales and service occupations","2"
"44",68.9,4,10,"Male","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","40.1 to 50.0 hours","Excellent","Excellent","French","Both English and French","Occupations in art, culture, recreation and sport","3"
"45",53.6,0,8,"Female","Born in Canada","Living common-law","Not a visible minority","By birth","Less than high school diploma or its equivalent","40.1 to 50.0 hours","Fair","Fair","English","English only","Occupations in manufacturing and utilities","1"
"46",63.4,3,10,"Male","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","50.1 hours and more","Excellent","Excellent","English","Both English and French","Sales and service occupations","6"
"47",34.5,1,7,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Good","Very good","English","English only","Occupations in manufacturing and utilities","3"
"48",36.2,2,8,"Male","Born in Canada","Living common-law","Not a visible minority","By birth","Trade certificate or diploma","30.0 to 40.0 hours","Fair","Good","French","Both English and French","Trades, transport and equipment operators and related oc...","5"
"50",69.4,2,9,"Male","Born in Canada","Separated","Not a visible minority","By birth","Less than high school diploma or its equivalent","30.0 to 40.0 hours","Good","Very good","English","English only","Sales and service occupations","1"
"51",26.8,1,8,"Female","Born in Canada","Living common-law","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","0.1 to 29.9 hours","Poor","Fair","English","English only","Occupations in education, law and social, community and ...","1"
"52",60.6,2,8,"Male","Born outside Canada","Living common-law","Not a visible minority","By naturalization","University certificate, diploma or degree above the bach...","40.1 to 50.0 hours","Good","Very good","English","English only","Management occupations","1"
"54",61.5,3,9,"Male","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Excellent","Excellent","English","English only","Natural and applied sciences and related occupations","6"
"56",46.6,2,7,"Male","Born in Canada","Separated","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Fair","Excellent","English","English only","Occupations in education, law and social, community and ...","4"
"57",53.6,0,7,"Female","Born in Canada","Living common-law","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Good","Very good","English","English only","Business, finance, and administration occupations","3"
"58",68.6,3,10,"Female","Born in Canada","Married","Not a visible minority","By birth","Less than high school diploma or its equivalent","30.0 to 40.0 hours","Fair","Good","English","English only","Sales and service occupations","1"
"59",45.1,0,8,"Male","Born in Canada","Living common-law","Not a visible minority","By birth","Trade certificate or diploma","30.0 to 40.0 hours","Good","Good","English","English only","Sales and service occupations","2"
"60",51,2,6,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Fair","Good","English","English only","Occupations in education, law and social, community and ...","4"
"61",70.8,2,10,"Female","Born in Canada","Living common-law","Not a visible minority","By birth","Less than high school diploma or its equivalent","30.0 to 40.0 hours","Good","Excellent","French","French only","Sales and service occupations","2"
"62",60.8,0,8,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","Trade certificate or diploma","30.0 to 40.0 hours","Good","Excellent","French","French only","Trades, transport and equipment operators and related oc...","1"
"63",53.1,0,6,"Female","Born in Canada","Separated","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","0.1 to 29.9 hours","Fair","Excellent","English","English only","Occupations in education, law and social, community and ...","2"
"64",34,3,9,"Female","Born outside Canada","Married","Not a visible minority","By naturalization","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","0.1 to 29.9 hours","Very good","Very good","English","English only","Occupations in education, law and social, community and ...","1"
"67",65.9,3,9,"Female","Born in Canada","Living common-law","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","0.1 to 29.9 hours","Very good","Very good","English","English only","Business, finance, and administration occupations","2"
"69",37,2,10,"Female","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Excellent","Very good","English","English only","Sales and service occupations","2"
"72",42.3,3,8,"Female","Born in Canada","Living common-law","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Excellent","Excellent","English","Both English and French","Business, finance, and administration occupations","3"
"73",44.3,2,6,"Male","Born in Canada","Divorced","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Good","Excellent","English","English only","Occupations in manufacturing and utilities","2"
"74",26.7,0,10,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Very good","Very good","English","English only","Trades, transport and equipment operators and related oc...","1"
"75",24.1,0,10,"Female","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","0.1 to 29.9 hours","Good","Very good","English","English only","Occupations in education, law and social, community and ...","1"
"76",41.1,2,10,"Male","Born in Canada","Married","Visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Excellent","Excellent","English","English only","Occupations in education, law and social, community and ...","2"
"77",26.1,0,8,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Don't know","Excellent","Very good","French","Both English and French","Occupations in education, law and social, community and ...","1"
"78",31.5,1,9,"Female","Born in Canada","Living common-law","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","0.1 to 29.9 hours","Very good","Very good","French","Both English and French","Occupations in art, culture, recreation and sport","2"
"79",57.9,2,6,"Female","Born outside Canada","Married","Visible minority","By naturalization","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Very good","Very good","English and non-official language","English only","Occupations in education, law and social, community and ...","2"
"81",16.4,0,8,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","Less than high school diploma or its equivalent","30.0 to 40.0 hours","Very good","Very good","French","French only","Sales and service occupations","1"
"84",54,0,8,"Male","Born outside Canada","Single, never married","Visible minority","By naturalization","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Very good","Good","English and non-official language","English only","Natural and applied sciences and related occupations","5"
"85",17.1,0,8,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","Less than high school diploma or its equivalent","0.1 to 29.9 hours","Good","Good","French","Both English and French","Sales and service occupations","1"
"86",63.9,0,8,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","University certificate, diploma or degree above the bach...","0.1 to 29.9 hours","Excellent","Excellent","English","English only","Occupations in education, law and social, community and ...","3"
"87",57.8,3,8,"Female","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","0.1 to 29.9 hours","Good","Good","English","English only","Occupations in education, law and social, community and ...","1"
"89",41.1,2,7,"Male","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Good","Good","English","English only","Business, finance, and administration occupations","4"
"92",53.3,1,7,"Male","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Good","Good","English","English only","Business, finance, and administration occupations","4"
"93",35.2,0,7,"Male","Born outside Canada","Single, never married","Visible minority","By naturalization","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","0.1 to 29.9 hours","Fair","Very good","English","English only","Occupations in art, culture, recreation and sport","1"
"98",56.3,1,10,"Female","Born in Canada","Divorced","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Very good","Excellent","French","Both English and French","Business, finance, and administration occupations","3"
"100",29.8,0,7,"Male","Born in Canada","Single, never married","Visible minority","By birth","University certificate, diploma or degree above the bach...","30.0 to 40.0 hours","Good","Good","English","Both English and French","Health occupations","3"
"102",33,2,10,"Female","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","Don't know","Very good","Excellent","English","English only","Sales and service occupations","2"
"103",25.3,0,8,"Male","Born in Canada","Living common-law","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Very good","Very good","English","Both English and French","Natural and applied sciences and related occupations","1"
"104",63.4,2,8,"Male","Born outside Canada","Married","Not a visible minority","By naturalization","University certificate, diploma or degree above the bach...","40.1 to 50.0 hours","Excellent","Good","English","Both English and French","Management occupations","1"
"107",57.3,3,4,"Female","Born outside Canada","Married","Visible minority","By naturalization","High school diploma or a high school equivalency certificate","Don't know","Excellent","Excellent","English and non-official language","English only","Sales and service occupations","2"
"109",55.8,1,8,"Male","Born in Canada","Married","Not a visible minority","By birth","University certificate, diploma or degree above the bach...","30.0 to 40.0 hours","Very good","Very good","English","English only","Occupations in education, law and social, community and ...","4"
"111",47.7,0,8,"Male","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Good","Excellent","English","Both English and French","Occupations in education, law and social, community and ...","4"
"112",41.4,2,7,"Female","Born in Canada","Married","Not a visible minority","By birth","University certificate, diploma or degree above the bach...","30.0 to 40.0 hours","Good","Very good","English","Both English and French","Occupations in education, law and social, community and ...","6"
"115",29.3,0,7,"Female","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Very good","Very good","English","English only","Sales and service occupations","3"
"117",59.3,4,8,"Male","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","50.1 hours and more","Good","Good","English and non-official language","English only","Trades, transport and equipment operators and related oc...","6"
"118",47.3,4,8,"Male","Born in Canada","Living common-law","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Good","Very good","English","English only","Occupations in manufacturing and utilities","3"
"119",35.9,7,9,"Female","Born in Canada","Divorced","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Poor","Poor","English","English only","Trades, transport and equipment operators and related oc...","2"
"120",22.5,0,9,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Excellent","Very good","English","English only","Business, finance, and administration occupations","2"
"123",45,1,10,"Male","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Excellent","Excellent","English","English only","Occupations in manufacturing and utilities","3"
"126",70.8,5,9,"Male","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Good","Good","English","English only","Management occupations","4"
"129",58.1,6,2,"Female","Born outside Canada","Divorced","Visible minority","By naturalization","College, CEGEP or other non-university certificate or di...","50.1 hours and more","Poor","Poor","English","English only","Business, finance, and administration occupations","3"
"130",36.5,2,9,"Female","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Excellent","Very good","English","English only","Health occupations","4"
"131",60.3,4,10,"Female","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Very good","Excellent","English","English only","Occupations in education, law and social, community and ...","4"
"136",74.8,7,8,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","Trade certificate or diploma","40.1 to 50.0 hours","Poor","Good","English","English only","Health occupations","2"
"140",39.6,2,8,"Male","Born in Canada","Living common-law","Not a visible minority","By birth","University certificate or diploma below the bachelor's level","30.0 to 40.0 hours","Good","Very good","English","English only","Trades, transport and equipment operators and related oc...","3"
"143",56.3,2,6,"Female","Born outside Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","0.1 to 29.9 hours","Good","Fair","English and non-official language","Both English and French","Management occupations","2"
"145",30.9,0,8,"Male","Born in Canada","Separated","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","50.1 hours and more","Excellent","Very good","English","Both English and French","Management occupations","2"
"147",33.3,1,8,"Female","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Very good","Very good","English","English only","Health occupations","2"
"150",41.3,0,7,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","University certificate, diploma or degree above the bach...","0.1 to 29.9 hours","Good","Good","English","English only","Occupations in education, law and social, community and ...","4"
"151",18.3,0,8,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","Less than high school diploma or its equivalent","0.1 to 29.9 hours","Very good","Good","English","English only","Sales and service occupations","1"
"152",40.4,1,7,"Male","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Very good","Good","English","English only","Occupations in education, law and social, community and ...","4"
"153",48.9,0,8,"Female","Born in Canada","Living common-law","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Very good","Excellent","English","English only","Occupations in art, culture, recreation and sport","3"
"155",29.7,0,9,"Male","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","50.1 hours and more","Good","Good","English","English only","Trades, transport and equipment operators and related oc...","1"
"156",33.1,0,6,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","0.1 to 29.9 hours","Good","Very good","English","English only","Trades, transport and equipment operators and related oc...","1"
"157",25.8,0,4,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","0.1 to 29.9 hours","Good","Fair","English","English only","Sales and service occupations","1"
"158",39.3,4,10,"Female","Born in Canada","Living common-law","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","0.1 to 29.9 hours","Good","Excellent","English","English only","Health occupations","1"
"160",67.1,4,9,"Female","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","0.1 to 29.9 hours","Excellent","Excellent","English","English only","Health occupations","2"
"161",31.8,0,6,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Fair","Good","French","Both English and French","Occupations in art, culture, recreation and sport","2"
"162",61.1,2,5,"Female","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Fair","Good","English","English only","Business, finance, and administration occupations","1"
"164",59,2,8,"Male","Born in Canada","Divorced","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Very good","Very good","French","Both English and French","Sales and service occupations","4"
"165",63.3,0,10,"Female","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","0.1 to 29.9 hours","Excellent","Very good","English","English only","Occupations in education, law and social, community and ...","3"
"166",43.9,0,10,"Male","Born in Canada","Living common-law","Not a visible minority","By birth","University certificate, diploma or degree above the bach...","30.0 to 40.0 hours","Very good","Excellent","English","Both English and French","Management occupations","5"
"167",51.3,4,10,"Female","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Good","Excellent","French","Both English and French","Business, finance, and administration occupations","1"
"168",52.9,1,9,"Female","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Very good","Excellent","English","English only","Occupations in manufacturing and utilities","1"
"169",40.6,1,7,"Female","Born outside Canada","Married","Visible minority","By naturalization","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Fair","Good","English and non-official language","Both English and French","Business, finance, and administration occupations","2"
"171",16.7,0,9,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","Less than high school diploma or its equivalent","0.1 to 29.9 hours","Excellent","Very good","English","English only","Sales and service occupations","1"
"172",62.3,2,10,"Male","Born in Canada","Married","Not a visible minority","By birth","Trade certificate or diploma","30.0 to 40.0 hours","Very good","Very good","English","English only","Trades, transport and equipment operators and related oc...","4"
"176",64.9,0,10,"Female","Born outside Canada","Single, never married","Not a visible minority","By naturalization","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Excellent","Excellent","English","English only","Sales and service occupations","2"
"180",67.4,3,9,"Female","Born in Canada","Divorced","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","Don't know","Very good","Very good","English","English only","Sales and service occupations","2"
"181",61.8,1,7,"Female","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Excellent","Excellent","English","English only","Management occupations","3"
"182",67.4,3,7,"Male","Born in Canada","Widowed","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","0.1 to 29.9 hours","Good","Good","English","English only","Sales and service occupations","3"
"183",47.3,0,5,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","40.1 to 50.0 hours","Good","Good","English","English only","Sales and service occupations","2"
"184",52.6,0,8,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Excellent","Excellent","English","English only","Occupations in education, law and social, community and ...","3"
"186",31.6,1,9,"Female","Born in Canada","Living common-law","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Excellent","Excellent","French","French only","Health occupations","4"
"187",78,2,9,"Male","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","0.1 to 29.9 hours","Fair","Very good","English","English only","Management occupations","3"
"188",24.3,0,10,"Female","Born in Canada","Single, never married","Visible minority","By birth","College, CEGEP or other non-university certificate or di...","40.1 to 50.0 hours","Very good","Excellent","English","English only","Sales and service occupations","1"
"190",63.1,4,10,"Male","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Good","Excellent","English","English only","Sales and service occupations","2"
"192",36.4,0,9,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Good","Very good","English","English only","Business, finance, and administration occupations","2"
"193",63.1,3,9,"Male","Born in Canada","Divorced","Not a visible minority","By birth","Less than high school diploma or its equivalent","30.0 to 40.0 hours","Excellent","Good","English","English only","Trades, transport and equipment operators and related oc...","3"
"195",53.5,3,8,"Male","Born in Canada","Married","Not a visible minority","By birth","University certificate, diploma or degree above the bach...","30.0 to 40.0 hours","Excellent","Excellent","English","English only","Management occupations","6"
"197",68,2,9,"Male","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","0.1 to 29.9 hours","Very good","Excellent","English","English only","Sales and service occupations","4"
"198",57.5,3,10,"Female","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","0.1 to 29.9 hours","Very good","Very good","English","English only","Occupations in education, law and social, community and ...","5"
"199",51.5,2,5,"Male","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Fair","Fair","English","English only","Natural and applied sciences and related occupations","3"
"202",68,3,10,"Male","Born outside Canada","Married","Not a visible minority","By naturalization","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","40.1 to 50.0 hours","Excellent","Excellent","English","English only","Management occupations","5"
"203",61.7,0,10,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","50.1 hours and more","Very good","Excellent","English","English only","Health occupations","4"
"204",24.3,0,9,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Very good","Very good","French","Both English and French","Business, finance, and administration occupations","2"
"205",71.6,4,10,"Female","Born in Canada","Widowed","Not a visible minority","By birth","Less than high school diploma or its equivalent","40.1 to 50.0 hours","Very good","Excellent","English","English only","Natural resources, agriculture and related production oc...","2"
"207",59.2,3,8,"Male","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Excellent","Excellent","English","English only","Natural and applied sciences and related occupations","6"
"208",41.4,2,6,"Female","Born in Canada","Separated","Not a visible minority","By birth","University certificate or diploma below the bachelor's level","30.0 to 40.0 hours","Good","Good","English","English only","Business, finance, and administration occupations","3"
"209",66.8,4,8,"Female","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","0.1 to 29.9 hours","Fair","Fair","English","English only","Business, finance, and administration occupations","3"
"213",53.7,2,9,"Female","Born in Canada","Living common-law","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","0.1 to 29.9 hours","Good","Good","English","English only","Sales and service occupations","1"
"216",30.6,1,9,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","50.1 hours and more","Very good","Very good","English","English only","Sales and service occupations","1"
"217",53.9,2,6,"Female","Born in Canada","Living common-law","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Good","Good","English","English only","Health occupations","2"
"218",53.3,3,8,"Male","Born in Canada","Married","Not a visible minority","By birth","Trade certificate or diploma","30.0 to 40.0 hours","Very good","Very good","English","English only","Trades, transport and equipment operators and related oc...","6"
"220",65.3,4,10,"Male","Born in Canada","Married","Not a visible minority","By birth","Less than high school diploma or its equivalent","50.1 hours and more","Very good","Very good","French","French only","Management occupations","1"
"222",37,1,8,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","0.1 to 29.9 hours","Excellent","Excellent","English","English only","Occupations in art, culture, recreation and sport","1"
"223",31.2,2,9,"Male","Born in Canada","Living common-law","Not a visible minority","By birth","Trade certificate or diploma","30.0 to 40.0 hours","Very good","Excellent","French","French only","Trades, transport and equipment operators and related oc...","2"
"224",53.7,2,10,"Female","Born in Canada","Divorced","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","50.1 hours and more","Very good","Good","English","English only","Management occupations","1"
"227",45.8,3,9,"Female","Born in Canada","Married","Not a visible minority","By birth","University certificate, diploma or degree above the bach...","30.0 to 40.0 hours","Good","Very good","English","English only","Occupations in education, law and social, community and ...","4"
"229",52.3,1,10,"Male","Born outside Canada","Living common-law","Not a visible minority","By naturalization","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Very good","Very good","English","English only","Management occupations","4"
"230",32.3,1,7,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Good","Good","English","English only","Natural and applied sciences and related occupations","3"
"233",63.8,2,9,"Female","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Very good","Excellent","English","English only","Sales and service occupations","5"
